bière	bière	n.	f.			false
bijou	bijou	n.	m.			false
bilan	bilan	n.	m.			false
bilinguisme	bilinguisme	n.	m.			false
billet	billet	n.	m.			false
biographie	biographie	n.	f.			false
biscuit	biscuit	n.	m.			false
bise	bise	n.	f.			false
bizarre	bizarre	adj.				false
bizarrerie	bizarrerie	n.	f.			false
blague	blague	n.	f.			false
blâme	blâme	n.	m.			false
blanc	blanc	adj.				false
blanc	blanc	n.	m.			false
blancheur	blancheur	n.	f.			false
blé	blé	n.	m.			false
blessé	blessé	n.	m.			false
blesser	blesser	v.				false
blessure	blessure	n.	f.			false
bleu	bleu	adj.				false
bleu	bleu	n.	m.			false
bleuet	bleuet	n.	m.			false
blizzard	blizzard	n.	m.			false
bloc	bloc	n.	m.			false
blond	blond	adj.				false
blouse	blouse	n.	f.			false
blouson	blouson	n.	m.			false
bobine	bobine	n.	f.			false
boeuf	boeuf	n.	m.			false
boire	boire	v.				false
bois	bois	n.	m.			false
boisson	boisson	n.	f.			false
boite	boite	n.	f.			true
boîte	boîte	n.	f.			false
bol	bol	n.	m.			false
bombardement	bombardement	n.	m.			false
bombe	bombe	n.	f.			false
bon	bon	adj.				false
bon	bon	n.	m.			false
bon sens	bon sens	n.	m.			false
bonbon	bonbon	n.	m.			false
bond	bond	n.	m.			false
bondir	bondir	v.				false
bonheur	bonheur	n.	m.			false
bonhomme	bonhomme	n.	m.			false
bonjour	bonjour	n.	m.			false
bonsoir	bonsoir	n.	m.			false
bonté	bonté	n.	f.			false
bord	bord	n.	m.			false
borne	borne	n.	f.			false
bosquet	bosquet	n.	m.			false
botte	botte	n.	f.			false
bottine	bottine	n.	f.			false
bouche	bouche	n.	f.			false
bouchon	bouchon	n.	m.			false
boue	boue	n.	f.			false
bouger	bouger	v.				false
bougie	bougie	n.	f.			false
boule	boule	n.	f.			false
boulevard	boulevard	n.	m.			false
bouleversement	bouleversement	n.	m.			false
bouleverser	bouleverser	v.				false
boulon	boulon	n.	m.			false
bouquet	bouquet	n.	m.			false
bourbier	bourbier	n.	m.			false
bourgeon	bourgeon	n.	m.			false
bourrasque	bourrasque	n.	f.			false
bourse	bourse	n.	f.			false
bout	bout	n.	m.			false
bouteille	bouteille	n.	f.			false
boutique	boutique	n.	f.			false
bouton	bouton	n.	m.			false
boxe	boxe	n.	f.			false
braconnage	braconnage	n.	m.			false
branche	branche	n.	f.			false
bras	bras	n.	m.			false
brave	brave	adj.				false
bravoure	bravoure	n.	f.			false
brebis	brebis	n.	f.			false
brèche	brèche	n.	f.			false
bref	bref	adj.				false
bref	bref	adv.				false
brevet	brevet	n.	m.			false
brièveté	brièveté	n.	f.			false
brillant	brillant	adj.				false
briller	briller	v.				false
brin	brin	n.	m.			false
brio	brio	n.	m.			false
brise	brise	n.	f.			false
briser	briser	v.				false
brochure	brochure	n.	f.			false
bronzage	bronzage	n.	m.			false
bronze	bronze	n.	m.			false
brouillard	brouillard	n.	m.			false
brouillon	brouillon	n.	m.			false
bruine	bruine	n.	f.			false
bruit	bruit	n.	m.			false
bruler	bruler	v.				true
brûler	brûler	v.				false
brulure	brulure	n.	f.			true
brûlure	brûlure	n.	f.			false
brume	brume	n.	f.			false
brun	brun	adj.				false
brun	brun	n.	m.			false
brusque	brusque	adj.				false
brusquement	brusquement	adv.				false
brutal	brutal	adj.				false
brutalité	brutalité	n.	f.			false
buée	buée	n.	f.			false
bulle	bulle	n.	f.			false
bureau	bureau	n.	m.			false
bus	bus	n.	m.			false
buste	buste	n.	m.			false
but	but	n.	m.			false
butin	butin	n.	m.			false
c'est-à-dire	c'est-à-dire	conj.				false
ça	ça	pron.				false
cabane	cabane	n.	f.			false
cabine	cabine	n.	f.			false
cacher	cacher	v.				false
cachette	cachette	n.	f.			false
cadeau	cadeau	n.	m.			false
